年份,地区,文本总词频,环保词频_总计,环保词频_污染防治,环保词频_绿色低碳,环保词频_生态保护,环保词频_环境监管,环境规制强度_Z1,地区_归一化,人均地区生产总值（元）,地区生产总值（万元）,常住人口城镇化率（%）,第三产业增加值占GDP比重（%）,生活垃圾卫生填埋场处理量（万吨）,生活垃圾焚烧厂处理量（万吨）,无害化处理量（万吨）,生活垃圾清运量（万吨）,市容环卫专用车辆设备总数（台）,市容环境卫生投资（万元）,第一产业占比(2022),第二产业占比(2022),第三产业占比(2022)
2021,南昌市,7157,112,17,14,24,57,1.564901495039821,南昌,104788.0,66510000.0,,48.02,5.59201,125.20126,136.87717,136.87717,3434.0,792.0,,,
2022,南昌市,6068,87,7,21,22,37,1.4337508239947263,南昌,111031.0,72040000.0,,48.18,0.0,129.57049,135.64278,135.64278,3679.0,4024.0,3.45,48.37,48.18
2023,南昌市,6039,122,10,17,43,52,2.0202020202020203,南昌,110067.0,72130000.0,79.58,50.25,0.0,138.65301,147.3322,147.3322,3976.0,3890.0,,,
2013,南通市,5385,86,5,10,17,54,1.59702878365831,南通,65696.0,50388916.0,,41.08,4.75,44.21,48.96,48.96,790.0,8653.0,,,
2014,南通市,5459,86,9,13,26,38,1.575380106246565,南通,77457.0,56526900.0,,44.24,5.74,47.64,53.38,53.38,454.0,12315.0,,,
2015,南通市,5594,97,6,13,21,57,1.734000715051841,南通,84236.0,61483955.0,,45.8,3.41,56.47,59.88,59.88,500.0,11835.0,,,
2016,南通市,6036,91,6,15,30,40,1.5076209410205434,南通,92702.0,67682000.0,,47.74,10.49,61.49,71.98,71.98,573.0,7277.0,,,
2017,南通市,5953,110,14,18,33,45,1.8478078279858896,南通,110003.0,77346425.0,,,10.53,69.4,79.93,79.93,1592.0,5478.0,,,
2018,南通市,5965,148,23,10,41,74,2.4811399832355407,南通,115320.0,84270000.0,,48.43,4.98827,80.35507,85.34334,85.34334,1603.0,8038.42,,,
2019,南通市,5283,106,22,9,24,51,2.00643573727049,南通,128294.0,93830000.0,,46.39,8.45164,34.84625,43.2979,43.298,1610.0,6000.0,,,
2020,南通市,5377,95,17,10,21,47,1.76678445229682,南通,129900.0,100360000.0,,47.94,0.0,100.64143,100.64143,100.64143,1816.0,225256.0,,,
2021,南通市,5981,96,20,16,28,32,1.6050827620799195,南通,142721.0,110270000.0,,47.01,0.0,82.31623,82.31623,82.31623,2028.0,10056.0,,,
2022,南通市,5975,91,13,15,27,36,1.5230125523012552,南通,147057.0,113800000.0,,46.21,0.0,80.48649,80.48649,80.48649,2015.0,4170.0,4.48,49.31,46.21
2023,南通市,5709,90,8,30,20,32,1.5764582238570677,南通,152508.0,118130000.0,72.6,47.11,0.0,84.9514,84.9514,84.9514,1114.0,2440.0,,,
2013,厦门市,4553,64,6,14,17,27,1.4056665934548649,厦门,81572.0,30181565.0,,51.6,70.9,38.0,122.02,123.0,803.0,21850.0,,,
2014,厦门市,4537,56,4,8,22,22,1.2342957901697156,厦门,86832.0,32735772.0,,54.67,75.74,45.72,142.15,142.15,836.0,23000.0,,,
2015,厦门市,4330,58,11,9,20,18,1.3394919168591224,厦门,90379.0,34660288.0,,55.71,103.36,58.2,161.56,161.56,770.0,57005.0,,,
2016,厦门市,5418,90,11,14,36,29,1.6611295681063123,厦门,97282.0,37842662.0,,58.57,84.69,58.52,162.48,166.21,1028.0,50002.0,,,
2017,厦门市,4862,94,15,22,25,32,1.9333607568901685,厦门,109740.0,,,,109.66,55.67,189.24,189.24,1532.0,80650.0,,,
2018,厦门市,4942,47,9,4,12,22,0.9510319708619992,厦门,118015.0,47914131.0,,58.16,104.62,65.9983,198.93904,198.93904,1801.0,174291.0,,,
2019,厦门市,5435,76,16,5,19,36,1.3983440662373503,厦门,142739.0,59950000.0,,57.96,129.32549,97.67201,254.91801,254.91801,2057.0,100517.32,,,
2020,厦门市,5285,89,18,5,19,47,1.6840113528855252,厦门,123962.0,63840000.0,,60.08,59.97251,112.16618,202.22955,202.22955,3100.0,30440.0,,,
2021,厦门市,5299,65,10,7,22,26,1.2266465370824684,厦门,134491.0,70340000.0,,58.6,5.4615,154.0512,192.5079,192.5079,2986.0,28275.0,,,
2022,厦门市,5162,80,7,14,24,35,1.549786904300659,厦门,147387.0,78030000.0,,58.18,23.016,158.3883,223.83783,223.83783,2973.0,50105.0,0.38,41.44,58.18
2023,厦门市,4822,51,4,8,20,19,1.0576524263790958,厦门,151697.0,80660000.0,90.81,64.1,0.0,154.9206,200.69703,200.6971,2941.0,29550.0,,,
2013,台州市,5669,104,16,11,25,52,1.8345387193508556,台州,53086.0,31533369.0,,45.17,47.33,22.22,69.55,69.55,539.0,1339.0,,,
2014,台州市,5583,103,20,6,27,50,1.84488626186638,台州,56208.0,33873783.0,,47.02,60.15,15.98,76.13,76.13,580.0,1497.0,,,
2015,台州市,6103,89,20,5,27,37,1.4582991971161725,台州,58917.0,35538533.0,,49.42,60.78,14.69,75.47,77.81,580.0,1876.0,,,
2016,台州市,2607,51,8,7,18,18,1.9562715765247407,台州,64287.0,38986594.0,,49.98,59.76,17.96,77.72,77.72,577.0,1199.0,,,
2017,台州市,6418,65,4,6,14,41,1.0127765659083825,台州,71950.0,43882200.0,,,57.94,51.63,109.57,109.57,738.0,3001.0,,,
2018,台州市,6066,72,6,5,28,33,1.1869436201780417,台州,79541.0,48746696.0,,49.8,60.8997,32.68791,93.5876,93.58807,710.0,2019.6,,,
2019,台州市,5439,48,4,4,12,28,0.882515168229454,台州,83555.0,51340000.0,,48.93,34.5639,46.10019,80.66409,80.66455,747.0,884.37,,,
2020,台州市,4697,48,6,4,12,26,1.0219288907813495,台州,79889.0,52630000.0,,50.73,29.0375,48.494,77.5315,77.5315,862.0,17573.0,,,
2021,台州市,5466,37,3,3,11,20,0.676911818514453,台州,87089.0,57860000.0,,50.8,0.0,80.74323,80.74323,80.74323,665.0,73453.0,,,
2022,台州市,5845,82,3,24,11,44,1.4029084687767324,台州,90572.0,60410000.0,,50.85,0.0,76.35863,76.35863,76.35863,669.0,483.0,5.46,43.69,50.85
2023,台州市,5691,77,4,22,23,28,1.3530135301353017,台州,93214.0,62410000.0,64.8,52.53,0.0,77.70947,77.70947,77.70947,780.0,11.0,,,
2013,合肥市,6499,123,15,25,38,45,1.8925988613632867,合肥,65631.0,46729100.0,,39.42,99.5,,99.5,99.5,792.0,34286.0,,,
2014,合肥市,1804,28,5,3,7,13,1.5521064301552108,合肥,67689.0,51805600.0,,39.88,76.72,33.5,110.22,110.22,754.0,23722.0,,,
2015,合肥市,5736,102,13,19,35,35,1.778242677824268,合肥,73102.0,56602700.0,,42.75,70.32,51.72,122.04,122.05,1770.0,34709.0,,,
2016,合肥市,6844,104,14,27,33,30,1.5195791934541203,合肥,80138.0,62743777.0,,44.99,58.69,85.61,144.3,144.3,1920.0,27943.0,,,
2017,合肥市,5217,95,14,13,35,33,1.820969906076289,合肥,88456.0,70030500.0,,,78.07,86.16,171.52,171.52,963.0,,,,
2018,合肥市,6213,111,13,19,39,40,1.7865765330758083,合肥,97470.0,78229061.0,,50.28,41.0039,117.7164,166.3067,166.3067,981.0,1050.0,,,
2019,合肥市,5085,89,16,14,20,39,1.750245821042281,合肥,115623.0,94090000.0,,60.6,64.107,110.081,182.2357,182.2357,1076.0,61321.0,,,
2020,合肥市,4908,74,15,6,24,29,1.5077424612876935,合肥,108427.0,100460000.0,,61.06,37.49,129.87275,173.21205,173.21205,1472.0,128638.0,,,
2021,合肥市,6672,116,16,20,44,36,1.738609112709832,合肥,121187.0,114130000.0,,60.38,6.5216,181.88236,200.52416,200.52416,1577.0,52225.0,,,
2022,合肥市,6653,97,14,23,31,29,1.4579888771982563,合肥,125798.0,120130000.0,,60.26,0.0,213.06821,237.1359,237.13592,1633.0,14815.0,3.16,36.58,60.26
2023,合肥市,6178,98,9,28,31,30,1.5862738750404664,合肥,130074.0,126740000.0,85.55,60.4,0.0,194.3999,227.583,227.583,1779.0,25277.0,,,
2013,吉安市,5264,86,15,10,28,33,1.633738601823708,吉安,22081.0,11239013.0,,31.67,16.24,,16.24,16.24,33.0,128.0,,,
2014,吉安市,6327,82,8,18,38,18,1.2960328749802434,吉安,25486.0,12421109.0,,32.51,16.24,,16.24,16.24,33.0,156.0,,,
2015,吉安市,6612,99,15,13,41,30,1.497277676950998,吉安,27168.0,13285198.0,,34.16,16.65,,16.65,16.65,33.0,15284.0,,,
2016,吉安市,6323,95,12,19,45,19,1.5024513680215088,吉安,29772.0,14613721.0,,35.53,16.65,,16.65,16.65,33.0,5860.0,,,
2017,吉安市,4210,86,8,20,32,26,2.0427553444180524,吉安,32478.0,,,,18.25,,18.25,18.25,33.0,4200.0,,,
2018,吉安市,5596,104,9,14,41,40,1.858470335954253,吉安,35202.0,17422292.0,,42.71,18.37,0.0,18.37,18.37,35.0,4620.0,,,
2019,吉安市,5431,86,5,15,36,30,1.5835021174737618,吉安,42060.0,20850000.0,,44.4,15.55,4.05,19.6,19.6,52.0,93475.0,,,
2020,吉安市,5942,79,12,15,24,28,1.3295186805789296,吉安,48307.0,21680000.0,,44.88,0.0,19.6,19.6,19.6,78.0,12900.0,,,
2021,吉安市,5757,93,14,18,25,36,1.6154247003647733,吉安,56789.0,25260000.0,,44.34,0.0,17.35709,19.03991,19.03991,128.0,1000.0,,,
2022,吉安市,5671,101,10,25,31,35,1.7809910068770938,吉安,62170.0,27500000.0,,43.98,0.0,16.87361,18.54409,18.54409,157.0,7520.0,9.48,46.54,43.98
2023,吉安市,5812,91,8,27,29,27,1.565726083964212,吉安,62099.0,27350000.0,55.07,46.47,0.0,17.80833,19.70003,19.70003,173.0,1330.0,,,
2013,吉林市,6375,63,10,12,11,30,0.9882352941176472,吉林,61012.0,26174061.0,,41.46,,32.15,32.15,34.34,476.0,6175.0,,,
2014,吉林市,4273,47,7,18,4,18,1.0999297917154225,吉林,55548.0,23795605.0,,42.66,,33.32,33.32,36.97,619.0,,,,
2015,吉林市,3788,30,4,1,6,19,0.791974656810982,吉林,56076.0,23941860.0,,44.03,,25.73,25.73,33.83,710.0,8786.0,,,
2016,吉林市,5021,61,7,6,26,22,1.2148974307906792,吉林,57818.0,24535091.0,,47.18,,32.05,32.05,38.34,800.0,13080.0,,,
2017,吉林市,5168,56,4,7,25,20,1.08359133126935,吉林,52729.0,,,,,34.77,34.77,41.2,927.0,3228.0,,,
2018,吉林市,4835,78,10,13,18,37,1.613236814891417,吉林,53452.0,22102386.0,,58.81,0.0,41.1942,41.1942,43.7663,1007.0,,,,
2019,吉林市,5612,80,7,15,17,41,1.4255167498218104,吉林,34335.0,14170000.0,,52.47,0.0,46.257,46.257,46.257,875.0,,,,
2020,吉林市,5185,84,12,13,11,48,1.6200578592092574,吉林,35588.0,14530000.0,,51.0,0.0,44.2803,44.2803,44.2803,881.0,0.0,,,
2021,吉林市,4859,63,6,8,21,28,1.296563078822803,吉林,43333.0,15500000.0,,50.65,2.4203,42.9997,45.42,45.42,1051.0,1281.0,,,
2022,吉林市,6199,98,13,24,35,26,1.5809001451847071,吉林,42947.0,15180000.0,,49.61,0.0,41.52,41.52,41.52,1087.0,0.0,13.96,36.43,49.61
2023,吉林市,5445,83,10,16,28,29,1.5243342516069789,吉林,44932.0,15840000.0,65.57,50.49,0.0,44.0273,44.0273,44.0273,1122.0,0.0,,,
2013,呼和浩特市,5765,78,10,13,29,26,1.3529921942758023,呼和浩特,115829.0,27103900.0,,63.05,58.71,,58.71,59.46,548.0,69963.0,,,
2014,呼和浩特市,6050,72,10,13,23,26,1.1900826446280992,呼和浩特,95961.0,28940500.0,,66.36,61.17,,61.17,61.95,553.0,,,,
2015,呼和浩特市,6006,64,8,16,15,25,1.0656010656010655,呼和浩特,101492.0,30905200.0,,67.86,59.29,,59.29,59.29,423.0,20200.0,,,
2016,呼和浩特市,6735,101,11,25,45,20,1.4996288047512991,呼和浩特,103235.0,31735900.0,,68.56,47.92,12.46,60.38,60.38,444.0,5784.0,,,
2017,呼和浩特市,6407,107,9,32,39,27,1.6700483845793663,呼和浩特,,,,,54.73,32.73,87.46,87.46,1073.0,5600.0,,,
2018,呼和浩特市,6885,68,8,9,20,31,0.9876543209876544,呼和浩特,93029.0,29035000.0,,68.67,5.0407,65.3911,70.4318,70.4318,1278.0,44733.0,,,
2019,呼和浩特市,6785,89,15,13,19,42,1.31171702284451,呼和浩特,89138.0,27910000.0,,66.41,0.0,72.36592,72.36592,72.36592,1665.0,4977.0,,,
2020,呼和浩特市,4945,104,14,22,35,33,2.103134479271992,呼和浩特,81656.0,28010000.0,,66.33,0.0,74.50215,74.50215,74.50215,1502.0,19227.0,,,
2021,呼和浩特市,4953,103,10,13,48,32,2.0795477488390874,呼和浩特,89828.0,31210000.0,,61.9,0.0,71.96868,71.96868,71.96868,1897.0,39095.0,,,
2022,呼和浩特市,5707,97,9,27,36,25,1.6996670755212897,呼和浩特,94443.0,33290000.0,,60.46,0.0,70.92753,70.92753,70.92753,1910.0,8171.0,4.82,34.72,60.46
2023,呼和浩特市,4340,66,12,17,17,20,1.5207373271889402,呼和浩特,106337.0,38020000.0,80.72,60.4,0.0,78.17978,78.17978,78.1798,1922.0,50970.0,,,
2013,哈尔滨市,5420,73,9,9,25,30,1.3468634686346863,哈尔滨,50423.0,50170491.0,,53.54,105.0,9.7,114.7,131.4,2314.0,49999.0,,,
2014,哈尔滨市,6048,64,11,6,17,30,1.058201058201058,哈尔滨,53872.0,53400715.0,,54.86,107.85,10.37,118.22,139.09,3011.0,44190.0,,,
2015,哈尔滨市,6066,55,9,5,13,28,0.9066930431915594,哈尔滨,59027.0,57512119.0,,55.92,108.38,22.88,131.26,143.26,3067.0,31747.0,,,
2016,哈尔滨市,6490,78,8,19,23,28,1.2018489984591678,哈尔滨,63445.0,61016096.0,,57.59,85.03,57.21,142.23,163.0,3118.0,6973.0,,,
2017,哈尔滨市,6570,64,3,8,18,35,0.9741248097412482,哈尔滨,57193.0,62571800.0,,,79.26,64.6,143.86,168.27,3466.0,,,,
2018,哈尔滨市,6019,80,8,11,18,43,1.3291244392756272,哈尔滨,66094.0,63004794.0,,64.85,89.9182,61.87294,151.79114,165.56,3486.0,10786.14,,,
2019,哈尔滨市,5572,69,8,5,15,41,1.2383345297918162,哈尔滨,55175.0,52490000.0,,67.68,114.30981,62.55235,184.87669,184.87669,3641.0,43593.92,,,
2020,哈尔滨市,6025,70,8,8,11,43,1.161825726141079,哈尔滨,54570.0,51840000.0,,66.05,96.46801,66.88436,168.34919,168.34919,3752.0,59053.0,,,
2021,哈尔滨市,5428,33,4,2,7,20,0.6079587324981577,哈尔滨,53823.0,53520000.0,,65.1,29.58942,150.57062,188.82538,188.82538,3926.0,131337.0,,,
2022,哈尔滨市,4915,75,9,20,23,23,1.525940996948118,哈尔滨,55712.0,54900000.0,,64.35,0.0,179.30975,186.1921,186.1921,4824.0,15039.0,12.24,23.41,64.35
2023,哈尔滨市,3522,54,10,9,8,27,1.5332197614991483,哈尔滨,56901.0,55760000.0,71.82,65.5,0.0,180.69244,191.53507,191.53507,4824.0,0.0,,,
2013,唐山市,4385,66,12,9,21,24,1.5051311288483469,唐山,82831.0,61212139.0,,32.27,52.75,,52.75,57.75,491.0,6709.0,,,
2014,唐山市,4630,61,8,7,20,26,1.3174946004319654,唐山,80450.0,62253023.0,,33.27,53.05,,53.05,57.66,491.0,1040.0,,,
2015,唐山市,5006,60,9,5,15,31,1.1985617259288852,唐山,78398.0,61030601.0,,35.55,58.21,,58.21,58.21,491.0,701.0,,,
2016,唐山市,6626,71,12,13,32,14,1.0715363718683972,唐山,81239.0,63548675.0,,35.5,21.62,45.9,67.52,67.52,803.0,117.0,,,
2017,唐山市,3533,34,7,4,12,11,0.9623549391452024,唐山,82972.0,65301459.0,,,21.16,43.33,73.63,73.63,659.0,430.0,,,
2018,唐山市,3080,59,15,13,12,19,1.9155844155844155,唐山,87855.0,69549700.0,,38.02,28.63108,47.54548,87.78656,87.78656,733.0,12995.34,,,
2019,唐山市,3276,54,18,5,17,14,1.6483516483516485,唐山,86667.0,68900000.0,,39.85,39.3509,37.49,88.9009,88.9009,827.0,40086.89,,,
2020,唐山市,2605,38,10,3,12,13,1.45873320537428,唐山,93470.0,72110000.0,,38.57,16.42152,54.0075,80.76312,80.76312,1057.0,1671.0,,,
2021,唐山市,3853,65,8,18,22,17,1.6869971450817545,唐山,106784.0,82310000.0,,37.38,9.15849,74.51502,95.97329,95.97329,1098.0,10340.0,,,
2022,唐山市,3864,50,5,15,11,19,1.2939958592132506,唐山,115571.0,89010000.0,,37.46,5.1582,66.03555,80.73956,80.73956,1237.0,19242.0,7.17,55.36,37.46
2023,唐山市,3196,41,7,11,15,8,1.2828535669586982,唐山,118418.0,91330000.0,66.71,41.8,0.0,72.4465,85.0148,85.0148,1204.0,8960.0,,,
2013,嘉兴市,4154,82,15,16,18,33,1.974000962927299,嘉兴,90973.0,31476636.0,,40.2,,25.27,25.27,25.27,177.0,2014.0,,,
2014,嘉兴市,4232,62,15,8,7,32,1.4650283553875236,嘉兴,73458.0,33526045.0,,41.58,,28.94,28.94,28.94,216.0,3711.0,,,
2015,嘉兴市,4670,85,23,10,14,38,1.820128479657388,嘉兴,76850.0,35178068.0,,43.44,,33.39,33.39,33.39,244.0,14912.0,,,
2016,嘉兴市,4801,93,24,14,14,41,1.9370964382420328,嘉兴,83968.0,38621104.0,,44.4,,35.11,35.11,35.11,295.0,7131.0,,,
2017,嘉兴市,4996,80,17,13,12,38,1.6012810248198557,嘉兴,94510.0,43805200.0,,,,36.91,41.84,41.84,351.0,3668.0,,,
2018,嘉兴市,4778,79,12,19,11,37,1.6534114692339892,嘉兴,103858.0,48719836.0,,43.77,0.0,32.4568,40.505,40.505,357.0,3658.45,,,
2019,嘉兴市,4717,68,16,6,15,31,1.4415942336230656,嘉兴,112751.0,53700000.0,,43.89,0.0,41.33548,51.89601,51.89601,476.0,10868.94,,,
2020,嘉兴市,4705,65,13,6,17,29,1.381509032943677,嘉兴,102541.0,55100000.0,,45.83,0.0,36.29495,43.74966,43.74966,538.0,6673.0,,,
2021,嘉兴市,5299,73,12,14,19,28,1.3776184185695417,嘉兴,116323.0,63550000.0,,43.59,0.0,33.12468,46.77921,46.77921,634.0,15301.0,,,
2022,嘉兴市,6023,93,6,20,28,39,1.54408102274614,嘉兴,121794.0,67390000.0,,42.67,0.0,33.60396,48.02678,48.02678,822.0,12027.0,2.14,55.19,42.67
2023,嘉兴市,5664,93,5,33,22,33,1.641949152542373,嘉兴,126851.0,70620000.0,73.15,44.52,0.0,35.7616,47.6013,47.6013,1159.0,15158.0,,,
2013,大同市,4566,100,14,21,33,32,2.190100744634253,大同,28707.0,9674311.0,,47.25,,37.25,37.25,41.12,476.0,2182.0,,,
2014,大同市,4086,87,7,17,24,39,2.129221732745962,大同,29607.0,10017256.0,,49.83,,36.86,36.86,38.28,453.0,,,,
2015,大同市,5336,85,9,23,12,41,1.592953523238381,大同,30989.0,10533703.0,,52.85,,36.86,36.86,36.96,441.0,,,,
2016,大同市,5189,80,6,22,26,26,1.5417228753131624,大同,30046.0,10257962.0,,57.65,,40.13,40.13,40.23,419.0,,,,
2017,大同市,4846,89,6,36,27,20,1.8365662401981016,大同,32671.0,11213101.0,,,,38.3,41.17,41.17,395.0,,,,
2018,大同市,6224,82,7,36,21,18,1.3174807197943446,大同,36877.0,12719598.0,,58.4,0.0,38.51,41.358,41.358,610.0,,,,
2019,大同市,6610,110,9,36,27,38,1.6641452344931922,大同,38122.0,13190000.0,,57.4,0.0,39.75337,42.86197,42.86197,967.0,,,,
2020,大同市,8206,151,11,61,43,36,1.840116987570071,大同,43982.0,13700000.0,,57.88,0.0,41.57905,44.37905,44.37905,1336.0,1168.04,,,
2021,大同市,5933,107,6,40,34,27,1.803472105174448,大同,54391.0,16860000.0,,51.48,0.0,45.74346,49.22498,49.22498,1345.0,904.0,,,
2022,大同市,6303,106,8,29,50,19,1.6817388545137235,大同,59447.0,18430000.0,,49.26,0.0,45.7903,48.3311,48.3311,1308.0,1269.0,5.82,44.91,49.26
2023,大同市,6194,76,9,24,29,14,1.2269938650306749,大同,60580.0,18720000.0,74.44,51.42,0.0,49.6152,53.1902,53.1902,1090.0,534.0,,,
2013,大连市,4771,59,4,22,12,21,1.2366380213791657,大连,129455.0,76507861.0,,42.89,65.7,56.24,121.94,121.94,848.0,546.0,,,
2014,大连市,3340,42,2,9,14,17,1.2574850299401197,大连,109939.0,76555761.0,,45.93,58.21,63.28,121.49,121.49,899.0,996.0,,,
2015,大连市,5229,50,5,10,10,25,0.956205775482884,大连,110682.0,77316363.0,,50.83,59.79,63.02,122.81,122.81,972.0,1962.0,,,
2016,大连市,5774,59,2,18,13,26,1.0218219605126428,大连,97470.0,68101998.0,,51.36,63.91,66.38,130.29,130.29,1154.0,2372.0,,,
2017,大连市,5319,76,4,15,14,43,1.4288400075202106,大连,100033.0,69899000.0,,,68.44,65.49,133.93,140.15,1284.0,2301.0,,,
2018,大连市,6327,94,7,21,25,41,1.4856962225383277,大连,109550.0,76684823.0,,51.96,71.95508,67.19183,143.67029,143.67029,1186.0,1802.26,,,
2019,大连市,6892,91,9,11,16,55,1.3203714451538016,大连,99996.0,70020000.0,,53.46,84.8557,110.9912,202.5255,202.5255,1353.0,,,,
2020,大连市,7567,57,11,5,11,30,0.7532707810228624,大连,94685.0,70300000.0,,53.43,80.4619,110.3731,200.9196,200.9196,1636.0,648.56,,,
2021,大连市,6938,68,8,14,17,29,0.9801095416546556,大连,104751.0,78260000.0,,51.25,95.0248,109.91425,212.44895,212.44895,1662.0,94980.0,,,
2022,大连市,7226,100,12,32,20,36,1.3838915029061722,大连,112270.0,84310000.0,,49.29,45.973,150.8545,204.0455,204.0455,1664.0,13932.0,6.68,44.03,49.29
2023,大连市,7022,116,12,42,33,29,1.6519510111079465,大连,116557.0,87530000.0,82.93,50.75,0.0,191.9685,199.4785,199.4785,1586.0,3230.0,,,
2013,天津市,5483,77,13,17,28,19,1.4043406894036112,天津,99607.0,143701600.0,,48.05,112.22,81.33,193.55,199.95,2482.0,4040.0,,,
2014,天津市,4789,85,13,15,21,36,1.774900814366256,天津,105231.0,157269300.0,,49.34,102.12,106.58,208.71,215.89,3036.0,260931.0,,,
2015,天津市,4223,81,15,13,15,38,1.918067724366564,天津,107960.0,165381900.0,,52.15,109.04,114.15,223.19,240.7,3937.0,14869.0,,,
2016,天津市,4422,80,8,21,25,26,1.8091361374943469,天津,115053.0,178853900.0,,56.44,113.34,139.97,253.3,269.03,4449.0,18518.0,,,
2017,天津市,4399,65,8,10,16,31,1.4776085473971357,天津,119238.0,185491900.0,,58.15,152.19,137.57,289.76,306.87,4725.0,8493.0,,,
2018,天津市,5634,108,18,27,30,33,1.9169329073482428,天津,120711.0,188096400.0,,58.62,142.03746,136.46063,278.49809,294.77095,5438.0,3536.26,,,
2019,天津市,6257,119,19,14,44,42,1.9018699057056097,天津,90371.0,141040000.0,,63.46,79.73172,191.3366,300.22616,300.22617,5276.0,185541.42,,,
2020,天津市,5936,108,17,10,42,39,1.8194070080862532,天津,101614.0,140840000.0,,64.39,79.25263,195.65899,306.54002,306.54018,5568.0,337660.0,,,
2021,天津市,5838,91,10,16,36,29,1.5587529976019183,天津,113732.0,156950000.0,,61.26,0.0708,309.76804,335.67763,335.67763,5601.0,98863.0,,,
2022,天津市,6847,102,14,29,34,25,1.4897035197896888,天津,119235.0,163110000.0,,61.3,0.0,287.35237,309.07758,309.0776,5475.0,45184.0,1.67,37.02,61.30
2023,天津市,8056,101,10,32,31,28,1.2537239324726912,天津,122752.0,167370000.0,85.49,62.65,0.0,265.95625,301.92206,301.92207,5456.0,11055.0,,,
2013,太原市,3221,57,11,6,16,24,1.769636758770568,太原,65746.0,24128724.0,,54.8,49.87,71.57,121.43,121.43,1956.0,5900.0,,,
2014,太原市,3263,52,17,6,19,10,1.593625498007968,太原,59023.0,25310917.0,,58.47,113.85,50.43,164.28,164.28,2780.0,,,,
2015,太原市,3213,48,14,5,9,20,1.4939309056956116,太原,63483.0,27353442.0,,61.34,122.83,50.81,173.64,174.4,2300.0,,,,
2016,太原市,3957,69,12,13,22,22,1.7437452615617892,太原,68234.0,29556045.0,,62.57,129.76,51.22,180.98,180.98,2837.0,,,,
2017,太原市,4294,94,13,22,23,36,2.1891010712622263,太原,77536.0,33821819.0,,,131.57,48.98,184.15,184.15,2837.0,8295.0,,,
2018,太原市,3468,56,9,9,19,19,1.6147635524798154,太原,88272.0,38844778.0,,61.9,106.6511,57.3261,171.1887,171.1887,2625.0,126243.51,,,
2019,太原市,5223,68,10,14,12,32,1.3019337545471952,太原,90698.0,40290000.0,,61.24,119.8,41.562,171.5399,171.5399,2625.0,65101.0,,,
2020,太原市,5250,66,17,13,20,16,1.2571428571428571,太原,78734.0,41530000.0,,63.01,60.6029,75.0853,142.176,142.176,3313.0,0.0,,,
2021,太原市,6128,62,9,11,23,19,1.0117493472584858,太原,95646.0,51220000.0,,57.87,0.0,152.6508,161.8393,161.8393,2322.0,13480.0,,,
2022,太原市,6096,79,8,19,29,23,1.2959317585301835,太原,102922.0,55710000.0,,54.87,0.0,129.59122,138.93622,138.93625,2037.0,22953.0,0.86,44.27,54.87
2023,太原市,5818,69,11,17,23,18,1.1859745617050534,太原,102370.0,55740000.0,89.5,57.16,0.0,137.63655,148.23917,148.23917,2496.0,0.0,,,
2013,威海市,4681,73,11,9,25,28,1.5594958342234566,威海,100381.0,25496900.0,,40.53,3.94,16.89,20.83,20.83,253.0,1810.0,,,
2014,威海市,4837,80,11,8,27,34,1.6539177175935498,威海,99392.0,27903400.0,,44.01,12.02,17.23,29.24,29.24,346.0,4423.0,,,
2015,威海市,5082,75,12,8,19,36,1.475796930342385,威海,106922.0,30015700.0,,45.38,17.65,23.7,41.35,41.35,402.0,10361.0,,,
2016,威海市,5706,83,11,11,31,30,1.454609183315808,威海,114220.0,32122000.0,,47.3,11.5,29.12,40.62,40.62,430.0,4440.0,,,
2017,威海市,5777,58,5,3,17,33,1.0039813051756967,威海,124463.0,35129100.0,,,10.71,30.71,41.42,41.42,451.0,11773.0,,,
2018,威海市,7126,122,12,13,37,60,1.7120404153802975,威海,128774.0,36414800.0,,48.31,13.6988,28.2631,41.9619,41.9619,488.0,22598.0,,,
2019,威海市,7748,106,8,6,45,47,1.368094992256066,威海,104615.0,29640000.0,,49.89,10.9042,32.21328,45.25748,45.25748,530.0,50812.7,,,
2020,威海市,7268,95,15,6,38,36,1.3070996147495872,威海,103829.0,30180000.0,,51.49,0.0,48.58456,50.49337,50.49337,564.0,11529.0,,,
2021,威海市,6211,83,4,14,23,42,1.336338753823861,威海,118925.0,34640000.0,,50.81,0.0,52.35624,54.15154,54.15154,595.0,15418.0,,,
2022,威海市,6427,92,5,24,27,36,1.4314610238058192,威海,116871.0,34080000.0,,51.05,0.0,54.722,56.4995,56.4995,606.0,1500.0,10.41,38.54,51.05
2023,威海市,6020,78,7,36,21,14,1.2956810631229236,威海,120504.0,35140000.0,72.68,51.61,0.0,56.6151,59.5164,59.5164,606.0,519.0,,,
2013,宁波市,4541,71,7,17,18,29,1.5635322616163845,宁波,122912.0,71288672.0,,43.64,44.93,60.61,105.54,105.54,686.0,1300.0,,,
2014,宁波市,5342,103,24,13,26,40,1.928116810183452,宁波,98362.0,76102816.0,,44.07,20.26,84.38,104.64,104.64,712.0,24345.0,,,
2015,宁波市,4854,68,8,8,16,36,1.4009064688916355,宁波,102374.0,80036103.0,,45.24,27.76,83.24,111.0,111.0,729.0,16526.0,,,
2016,宁波市,5605,86,12,18,26,30,1.5343443354148083,宁波,110656.0,86864911.0,,45.23,66.71,83.86,150.57,150.57,838.0,21931.0,,,
